id,form_id,interaction_type,field_name,field_type,is_required,sort_order,created_at
1291,215,CALL,Reviewer Name,AUTO,1,0,9/24/2025 5:27:16 PM
1292,215,CALL,Review Date,AUTO,1,1,9/24/2025 5:27:16 PM
1293,215,CALL,CSR,DROPDOWN,1,2,9/24/2025 5:27:16 PM
1294,215,CALL,Spacer-1,SPACER,0,3,9/24/2025 5:27:16 PM
1295,215,CALL,Customer ID,TEXT,1,4,9/24/2025 5:27:16 PM
1296,215,CALL,Customer Name,TEXT,1,5,9/24/2025 5:27:16 PM
1297,215,CALL,Ticket Number,TEXT,1,6,9/24/2025 5:27:16 PM
1298,215,CALL,Spacer-2,SPACER,0,7,9/24/2025 5:27:16 PM
1349,221,CALL,Reviewer Name,AUTO,1,0,9/29/2025 7:38:30 PM
1350,221,CALL,Review Date,AUTO,1,1,9/29/2025 7:38:30 PM
1351,221,CALL,CSR,DROPDOWN,1,2,9/29/2025 7:38:30 PM
1352,221,CALL,Spacer-1,SPACER,0,3,9/29/2025 7:38:30 PM
1353,221,CALL,Customer ID,TEXT,1,4,9/29/2025 7:38:30 PM
1354,221,CALL,Customer Name,TEXT,1,5,9/29/2025 7:38:30 PM
1355,221,CALL,Ticket Number,TEXT,1,6,9/29/2025 7:38:30 PM
1356,221,CALL,Spacer-2,SPACER,0,7,9/29/2025 7:38:30 PM
1357,222,CALL,Reviewer Name,AUTO,1,0,10/10/2025 1:08:30 PM
1358,222,CALL,Review Date,AUTO,1,1,10/10/2025 1:08:30 PM
1359,222,CALL,CSR,DROPDOWN,1,2,10/10/2025 1:08:30 PM
1360,222,CALL,Spacer-1,SPACER,0,3,10/10/2025 1:08:30 PM
1361,222,CALL,Customer ID,TEXT,1,4,10/10/2025 1:08:30 PM
1362,222,CALL,Customer Name,TEXT,1,5,10/10/2025 1:08:30 PM
1363,222,CALL,Ticket Number,TEXT,1,6,10/10/2025 1:08:30 PM
1364,222,CALL,Spacer-2,SPACER,0,7,10/10/2025 1:08:30 PM
1365,223,CALL,Reviewer Name,AUTO,1,0,10/10/2025 1:10:37 PM
1366,223,CALL,Review Date,AUTO,1,1,10/10/2025 1:10:37 PM
1367,223,CALL,CSR,DROPDOWN,1,2,10/10/2025 1:10:37 PM
1368,223,CALL,Spacer-1,SPACER,0,3,10/10/2025 1:10:37 PM
1369,223,CALL,Customer ID,TEXT,1,4,10/10/2025 1:10:37 PM
1370,223,CALL,Customer Name,TEXT,1,5,10/10/2025 1:10:37 PM
1371,223,CALL,Ticket Number,TEXT,1,6,10/10/2025 1:10:37 PM
1372,223,CALL,Spacer-2,SPACER,0,7,10/10/2025 1:10:37 PM
1373,224,CALL,Reviewer Name,AUTO,1,0,10/10/2025 1:31:41 PM
1374,224,CALL,Review Date,AUTO,1,1,10/10/2025 1:31:41 PM
1375,224,CALL,CSR,DROPDOWN,1,2,10/10/2025 1:31:41 PM
1376,224,CALL,Spacer-1,SPACER,0,3,10/10/2025 1:31:41 PM
1377,224,CALL,Customer ID,TEXT,1,4,10/10/2025 1:31:41 PM
1378,224,CALL,Customer Name,TEXT,1,5,10/10/2025 1:31:41 PM
1379,224,CALL,Ticket Number,TEXT,1,6,10/10/2025 1:31:41 PM
1380,224,CALL,Spacer-2,SPACER,0,7,10/10/2025 1:31:41 PM
1381,225,CALL,Reviewer Name,AUTO,1,0,10/13/2025 5:38:54 PM
1382,225,CALL,Review Date,AUTO,1,1,10/13/2025 5:38:54 PM
1383,225,CALL,CSR,DROPDOWN,1,2,10/13/2025 5:38:54 PM
1384,225,CALL,Spacer-1,SPACER,0,3,10/13/2025 5:38:54 PM
1385,225,CALL,Customer ID,TEXT,1,4,10/13/2025 5:38:54 PM
1386,225,CALL,Customer Name,TEXT,1,5,10/13/2025 5:38:54 PM
1387,225,CALL,Ticket Number,TEXT,1,6,10/13/2025 5:38:54 PM
1388,225,CALL,Spacer-2,SPACER,0,7,10/13/2025 5:38:54 PM
1389,226,CALL,Reviewer Name,AUTO,1,0,10/13/2025 5:46:53 PM
1390,226,CALL,Review Date,AUTO,1,1,10/13/2025 5:46:53 PM
1391,226,CALL,CSR,DROPDOWN,1,2,10/13/2025 5:46:53 PM
1392,226,CALL,Spacer-1,SPACER,0,3,10/13/2025 5:46:53 PM
1393,226,CALL,Customer ID,TEXT,1,4,10/13/2025 5:46:53 PM
1394,226,CALL,Customer Name,TEXT,1,5,10/13/2025 5:46:53 PM
1395,226,CALL,Ticket Number,TEXT,1,6,10/13/2025 5:46:53 PM
1396,226,CALL,Spacer-2,SPACER,0,7,10/13/2025 5:46:53 PM
1397,227,CALL,Reviewer Name,AUTO,1,0,10/13/2025 6:11:08 PM
1398,227,CALL,Review Date,AUTO,1,1,10/13/2025 6:11:08 PM
1399,227,CALL,CSR,DROPDOWN,1,2,10/13/2025 6:11:08 PM
1400,227,CALL,Spacer-1,SPACER,0,3,10/13/2025 6:11:08 PM
1401,227,CALL,Customer ID,TEXT,1,4,10/13/2025 6:11:08 PM
1402,227,CALL,Customer Name,TEXT,1,5,10/13/2025 6:11:08 PM
1403,227,CALL,Ticket Number,TEXT,1,6,10/13/2025 6:11:08 PM
1404,227,CALL,Spacer-2,SPACER,0,7,10/13/2025 6:11:08 PM
1405,228,CALL,Reviewer Name,AUTO,1,0,10/13/2025 6:33:57 PM
1406,228,CALL,Review Date,AUTO,1,1,10/13/2025 6:33:57 PM
1407,228,CALL,CSR,DROPDOWN,1,2,10/13/2025 6:33:57 PM
1408,228,CALL,Spacer-1,SPACER,0,3,10/13/2025 6:33:57 PM
1409,228,CALL,Customer ID,TEXT,1,4,10/13/2025 6:33:57 PM
1410,228,CALL,Customer Name,TEXT,1,5,10/13/2025 6:33:57 PM
1411,228,CALL,Ticket Number,TEXT,1,6,10/13/2025 6:33:57 PM
1412,228,CALL,Spacer-2,SPACER,0,7,10/13/2025 6:33:57 PM
1413,229,CALL,Reviewer Name,AUTO,1,0,10/13/2025 6:49:13 PM
1414,229,CALL,Review Date,AUTO,1,1,10/13/2025 6:49:13 PM
1415,229,CALL,CSR,DROPDOWN,1,2,10/13/2025 6:49:13 PM
1416,229,CALL,Spacer-1,SPACER,0,3,10/13/2025 6:49:13 PM
1417,229,CALL,Customer ID,TEXT,1,4,10/13/2025 6:49:13 PM
1418,229,CALL,Customer Name,TEXT,1,5,10/13/2025 6:49:13 PM
1419,229,CALL,Ticket Number,TEXT,1,6,10/13/2025 6:49:13 PM
1420,229,CALL,Spacer-2,SPACER,0,7,10/13/2025 6:49:13 PM
1421,230,CALL,Reviewer Name,AUTO,1,0,10/13/2025 6:52:32 PM
1422,230,CALL,Review Date,AUTO,1,1,10/13/2025 6:52:32 PM
1423,230,CALL,CSR,DROPDOWN,1,2,10/13/2025 6:52:32 PM
1424,230,CALL,Spacer-1,SPACER,0,3,10/13/2025 6:52:32 PM
1425,230,CALL,Customer ID,TEXT,1,4,10/13/2025 6:52:32 PM
1426,230,CALL,Customer Name,TEXT,1,5,10/13/2025 6:52:32 PM
1427,230,CALL,Ticket Number,TEXT,1,6,10/13/2025 6:52:32 PM
1428,230,CALL,Spacer-2,SPACER,0,7,10/13/2025 6:52:32 PM
1429,231,CALL,Reviewer Name,AUTO,1,0,10/13/2025 7:03:55 PM
1430,231,CALL,Review Date,AUTO,1,1,10/13/2025 7:03:55 PM
1431,231,CALL,CSR,DROPDOWN,1,2,10/13/2025 7:03:55 PM
1432,231,CALL,Spacer-1,SPACER,0,3,10/13/2025 7:03:55 PM
1433,231,CALL,Customer ID,TEXT,1,4,10/13/2025 7:03:55 PM
1434,231,CALL,Customer Name,TEXT,1,5,10/13/2025 7:03:55 PM
1435,231,CALL,Ticket Number,TEXT,1,6,10/13/2025 7:03:55 PM
1436,231,CALL,Spacer-2,SPACER,0,7,10/13/2025 7:03:55 PM
