id,form_name,interaction_type,version,created_by,created_at,is_active,parent_form_id,user_version,user_version_date
215,No Contact Call Review Form,CALL,1,1,9/24/2025 5:27:16 PM,0,null,1,9/29/2025
221,Contact Call Review Form,CALL,1,1,9/29/2025 7:38:29 PM,0,null,1,9/29/2025
222,Contact Call Review Form,CALL,2,1,10/10/2025 1:08:29 PM,0,null,1,9/29/2025
223,Contact Call Review Form,CALL,3,1,10/10/2025 1:10:36 PM,0,null,1,9/29/2025
224,No Contact Call Review Form,CALL,2,1,10/10/2025 1:31:40 PM,0,null,1,9/29/2025
225,No Contact Call Review Form,CALL,3,1,10/13/2025 5:38:54 PM,0,null,1,9/29/2025
226,No Contact Call Review Form,CALL,4,1,10/13/2025 5:46:52 PM,0,null,1,9/29/2025
227,Contact Call Review Form,CALL,4,1,10/13/2025 6:11:08 PM,0,null,1,9/29/2025
228,Contact Call Review Form,CALL,5,1,10/13/2025 6:33:56 PM,0,null,1,9/29/2025
229,Contact Call Review Form,CALL,6,1,10/13/2025 6:49:13 PM,0,null,1,9/29/2025
230,Contact Call Review Form,CALL,7,1,10/13/2025 6:52:32 PM,0,null,1,9/29/2025
231,Contact Call Review Form,CALL,8,1,10/13/2025 7:03:55 PM,0,null,1,9/29/2025
236,Ticket Review,CALL,1,1,10/14/2025 6:12:48 PM,0,null,1,10/14/2025
238,Ticket Review,CALL,2,1,10/14/2025 6:14:52 PM,0,null,1,10/14/2025
239,Ticket Review,CALL,3,1,10/14/2025 6:15:20 PM,0,null,1,10/14/2025
240,Ticket Review,CALL,4,1,10/14/2025 6:16:41 PM,0,null,1,10/14/2025
241,Ticket Review,CALL,5,1,10/28/2025 6:09:22 PM,0,null,1,10/14/2025
242,Ticket Review,CALL,6,1,10/28/2025 6:09:50 PM,0,null,1,10/14/2025
243,"Ticket Review - Sub-classification, Resolution and Process",CALL,7,1,10/28/2025 6:10:10 PM,0,null,1,10/14/2025
244,"Tech Ticket Review - Sub-classification, Resolution and Process",CALL,8,1,10/28/2025 6:12:56 PM,1,null,1,10/14/2025
245,Contact Call Review Form,CALL,9,1,11/6/2025 3:59:52 PM,0,null,1,9/29/2025
246,Contact Call Review Form,CALL,10,1,11/11/2025 5:47:02 PM,0,null,1,9/29/2025
247,Contact Call Review Form,CALL,11,1,11/11/2025 5:59:06 PM,0,null,1,9/29/2025
248,Contact Call Review Form,CALL,12,1,11/11/2025 7:53:38 PM,0,null,1,9/29/2025
249,Contact Call Review Form,CALL,13,1,11/11/2025 7:56:11 PM,0,null,1,9/29/2025
250,Contact Call Review Form,CALL,14,1,11/11/2025 7:59:45 PM,0,null,1,9/29/2025
251,Contact Call Review Form,CALL,15,1,11/11/2025 8:07:42 PM,0,null,1,9/29/2025
252,Contact Call Review Form,CALL,16,1,11/11/2025 8:20:23 PM,0,null,1,9/29/2025
253,No Contact Call Review Form,CALL,5,1,11/11/2025 8:25:01 PM,0,null,1,9/29/2025
254,No Contact Call Review Form,CALL,6,1,11/11/2025 8:27:18 PM,0,null,1,9/29/2025
255,No Contact Call Review Form,CALL,7,1,11/20/2025 4:19:32 PM,0,null,1,9/29/2025
256,Contact Call Review Form,CALL,17,1,11/20/2025 4:27:25 PM,0,null,1,9/29/2025
257,Contact Call Review Form,CALL,18,1,11/20/2025 4:35:06 PM,0,null,1,9/29/2025
258,Contact Call Review Form,CALL,19,1,1/27/2026 3:21:12 PM,0,null,1,9/29/2025
259,Contact Call Review Form,CALL,20,1,1/27/2026 3:23:18 PM,1,null,1,9/29/2025
260,No Contact Call Review Form,CALL,8,1,1/27/2026 3:24:44 PM,1,null,1,9/29/2025
